id;job_role;work_from_home;type;min_salary;max_sal_ry;openings;working_days;work_timings;min_education;experience;gender
1;blue generating policy;true;PartTime;21462;7158;41621;Tasty;Unbranded;ITI;Fresher;Male
2;repurpose;true;PartTime;80262;5061;11709;bluetooth Ariary;Euro green Marks;Tenth;Experienced;Female
3;implementation Hill Plastic;true;PartTime;9925;14690;83623;matrix;generate Response Practical;Diploma;Fresher;Female
4;transmit indexing;true;FullTime;74127;34199;79512;end-to-end Dollar;Ukraine knowledge;Diploma;Fresher;Male
5;mobile;true;FullTime;90538;15395;74924;Shoes Buckinghamshire Chips;magnetic Junctions;Diploma;Fresher;Male
6;red portals port;false;FullTime;50505;45265;50879;orchid unleash;harness Steel success;BelowTenth;Experienced;Male
7;Hollow;true;FullTime;18469;74255;98920;cultivate;Paraguay Rubber Representative;BelowTenth;Experienced;Male
8;invoice Orchestrator solutions;false;PartTime;15892;20777;65505;sensor;Steel Small;Diploma;Fresher;Male
9;Steel;true;PartTime;2094;95884;61078;Balboa deploy;override;Graduate;Experienced;Male
10;Frozen Movies mobile;true;PartTime;37486;71708;81957;Avon Haiti;Avon Auto B2B;Post_Graduate;Fresher;Male
