id;required_skills;english;job_description;security_deposit_charged
1;Php;ThodaEnglish;engineer pink bypassing;Yes
2;Html;NOEnglish;indexing Concrete payment;No
3;Nodejs;NOEnglish;firewall connecting;No
4;Sql;NOEnglish;Money leverage;No
5;Angularjs;FluentEnglish;Pizza Market Jordan;Yes
6;WebDesigning;ThodaEnglish;Chicken Manat;Yes
7;JQuery;NOEnglish;frictionless;Yes
8;Wifi_Or_Internet;FluentEnglish;SAS;No
9;JQuery;ThodaEnglish;Computer interface;Yes
10;Computer_or_Laptop_Ownersip;ThodaEnglish;Texas communities Buckinghamshire;No
